,City,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year
459,"Salt Lake City, UT",United States,67.13,33.25,51.18,66.63,67.63,159.97,2016
460,"San Antonio, TX",United States,60.65,34.63,48.4,58.26,58.25,146.93,2016
461,"San Diego, CA",United States,77.8,60.29,69.55,78.54,77.63,127.68,2016
462,"San Francisco, CA",United States,95.97,125.55,109.9,105.17,91.15,105.63,2016
463,"San Jose, CA",United States,79.98,84.7,82.2,81.77,78.78,173.76,2016
464,San Jose,Costa Rica,60.32,20.83,41.72,59.38,49.18,45.17,2016
465,San Juan,Puerto Rico,67.31,25.49,47.62,61.73,66.63,89.14,2016
466,San Salvador,El Salvador,45.03,9.83,28.46,40.92,32.44,32.31,2016
467,"Santa Barbara, CA",United States,83.18,72.87,78.32,85.63,84.56,116.91,2016
468,"Santa Cruz, CA",United States,81.94,64.02,73.5,89.7,64.62,142.62,2016
469,Santiago,Chile,50.38,17.89,35.08,43.6,46.17,62.71,2016
470,Santo Domingo,Dominican Republic,53.15,15.26,35.31,46.26,42.04,24.4,2016
471,Sao Paulo,Brazil,54.19,21.85,38.96,41.02,48.29,43.82,2016
472,Sarajevo,Bosnia And Herzegovina,36.81,8.33,23.4,29.92,28.7,53.74,2016
473,Saskatoon,Canada,73.8,27.64,52.06,77.0,60.95,100.21,2016
474,"Savannah, GA",United States,68.05,29.09,49.71,64.99,80.11,113.94,2016
475,"Seattle, WA",United States,84.58,64.3,75.03,85.39,77.59,136.44,2016
476,Selangor,Malaysia,43.91,11.88,28.83,49.84,19.28,102.6,2016
477,Seoul,South Korea,83.2,48.58,66.9,97.12,47.99,93.33,2016
478,Sevilla,Spain,51.96,19.57,36.71,42.31,48.98,91.42,2016
479,Shanghai,China,54.31,36.25,45.8,57.81,39.65,81.8,2016
480,Sharjah,United Arab Emirates,58.18,31.17,45.46,48.37,46.05,117.72,2016
481,Sheffield,United Kingdom,65.91,24.07,46.21,56.97,77.18,107.15,2016
482,Shenzhen,China,53.18,34.51,44.39,57.64,36.31,85.2,2016
483,"Shreveport, LA",United States,66.2,24.69,46.66,65.76,63.81,109.19,2016
484,Sibiu,Romania,36.53,8.09,23.14,29.26,29.35,46.94,2016
485,Singapore,Singapore,86.11,76.65,81.66,75.58,60.69,101.51,2016
486,"Sioux Falls, SD",United States,70.62,27.18,50.17,73.88,54.2,96.73,2016
487,Skopje,Macedonia,35.72,8.69,22.99,28.3,27.61,41.69,2016
488,Sliema,Malta,68.43,28.99,49.86,58.42,81.58,75.11,2016
489,Sofia,Bulgaria,38.7,10.94,25.63,32.08,31.21,59.88,2016
490,Southampton,United Kingdom,73.22,31.68,53.66,63.49,76.56,114.19,2016
491,Split,Croatia,52.56,11.85,33.39,43.51,49.19,56.46,2016
492,"Spokane, WA",United States,71.9,26.44,50.49,71.33,74.82,110.11,2016
493,"Springfield, MO",United States,58.64,19.49,40.21,60.45,55.21,110.62,2016
494,"St. John's, NL",United States,81.04,23.61,54.0,86.74,79.86,102.97,2016
495,Stavanger,Norway,112.21,39.92,78.17,102.76,131.01,130.96,2016
496,Stockholm,Sweden,84.85,40.97,64.19,77.06,88.93,112.88,2016
497,Stuttgart,Germany,69.3,28.19,49.94,53.52,67.57,142.13,2016
498,Sumy,Ukraine,23.91,4.42,14.74,19.8,15.93,32.56,2016
499,Surabaya,Indonesia,40.92,11.78,27.2,42.55,22.53,29.07,2016
500,Surat,India,25.17,4.78,15.57,24.46,20.27,58.87,2016
501,Surrey,Canada,65.59,30.45,49.04,64.81,62.95,77.57,2016
502,Suzhou,China,40.62,13.69,27.94,42.18,30.17,72.41,2016
503,Swansea,United Kingdom,70.91,22.28,48.01,59.33,71.53,95.45,2016
504,Sydney,Australia,85.51,64.78,75.75,77.0,73.17,120.51,2016
505,"Syracuse, NY",United States,71.78,26.07,50.26,73.09,62.37,105.53,2016
506,Szczecin,Poland,38.75,10.39,25.4,30.11,30.86,68.01,2016
507,"Tacoma, WA",United States,73.76,34.17,55.12,67.49,70.56,135.39,2016
508,Taipei,Taiwan,64.76,21.52,44.4,76.4,30.89,126.74,2016
509,"Tallahassee, FL",United States,72.12,30.63,52.59,79.63,60.62,102.11,2016
510,Tallinn,Estonia,52.73,16.71,35.77,38.16,55.23,70.96,2016
511,"Tampa, FL",United States,71.66,38.6,56.09,75.08,67.05,108.17,2016
512,Tampere,Finland,77.11,24.89,52.52,63.45,90.31,112.96,2016
513,Tartu,Estonia,49.28,12.59,32.0,37.99,47.37,78.36,2016
514,Tashkent,Uzbekistan,40.2,12.49,27.16,34.66,27.98,25.6,2016
515,Tauranga,New Zealand,80.06,31.27,57.09,69.2,84.99,83.47,2016
516,Tbilisi,Georgia,32.53,11.28,22.53,26.21,31.66,33.64,2016
517,Tehran,Iran,40.27,22.04,31.69,35.34,35.31,45.95,2016
